"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"85.32.0","85320","P","Fræðslustarfsemi á framhaldsskólastigi – iðn- og verknám","Til þessarar greinar teljast skólar sem veita iðn- og verkmenntafræðslu í löggildum iðngreinum svo og aðra starfsmenntun á lægra stigi en þeir skólar sem veita menntun á háskólastigi skv. 85.4.  Á sama skólastigi er einnig margvísleg starfsmenntunarfræðsl","Til þessarar greinar telst einnig: - Leiðsögumannanám - Matreiðslu-, hótel- og veitinganám - Nám í snyrtifræði og hársnyrtiiðn - Starfsþjálfun í tölvuviðgerðum - Nám til skipstjórnarréttinda - Ökuskólar fyrir atvinnubílstjóra (meirapróf) - Flugskól","Til þessarar greinar telst ekki: - Tækni- og starfsmenntun á háskólastigi, sjá 85.4 - Listnám til skemmtunar, tómstundaiðkunar og sjálfsþroska, sjá 85.52 - Ökuskólar sem ekki eru ætlaðir atvinnuökumönnum, sjá 85.53 - Starfsþjálfun vegna félagsþjónustu"
"85.41.0","85410","P","Fræðslustarfsemi á viðbótarstigi","Til þessarar greinar telst: - Fræðslustarfsemi að loknu framhaldskólanámi sem getur þó ekki talist á háskólastigi, s.s. fræðslustarfsemi til undirbúnings fyrir háskólanám.  - Starfsemi menntastofnana sem bjóða upp á nám í flokki 4 samkvæmt alþjóðlegu me",,
"85.42.0","85420","P","Fræðslustarfsemi á háskólastigi","Til þessarar greinar telst: - Fræðslustarfsemi sem lýkur með háskólagráðu - Starfsemi menntastofnana sem bjóða upp á nám í flokkum 5 og 6 samkvæmt alþjóðlegu menntunarflokkuninni, ISCED","Til þessarar greinar telst einnig: - Skólar á háskólastigi sem kenna sviðslistir",
"85.51.0","85510","P","Íþrótta- og tómstundakennsla","Til þessarar greinar teljast búðir og skólar sem bjóða upp á íþróttakennslu fyrir hópa og einstaklinga.  Undanskilið er bóklegt nám, framhaldsskóla og háskólanám.    Til þessarar greinar telst: - Íþrótta-, leikfimi- og sundkennsla - Reiðkennsla og rei",,"Til þessarar greinar telst ekki: - Listnám, sjá 85.52 - Námskeið á vegum íþróttafélaga, sjá 93.12"
"85.52.0","85520","P","Listnám","Til þessarar greinar telst myndlistar-, leiklistar- og tónlistarnám. Þeir sem bjóða upp á slíkt nám bjóða upp á formlega skipulagða kennslu, aðallega til tómstundaiðkunar, skemmtunar eða sjálfsþroska, en slík kennsla veitir ekki framhalds- eða háskólagráð",,"Til þessarar greinar telst ekki: - Tungumálakennsla, sjá 85.59"
"85.53.0","85530","P","Ökuskólar, flugskólar o.þ.h.","Til þessarar greinar telst: - Starfsemi ökukennara og ökuskóla, þó ekki fyrir atvinnuökumenn - Fræðsla fyrir þá sem ætla að þreyta einkaflugmannspróf og stýrimannapróf á smábátum, en ekki þá sem eru að nema til atvinnumannsréttinda",,"Til þessarar greinar telst ekki: - Ökuskólar fyrir atvinnuökumenn og flugskólar fyrir atvinnuflugmenn, sjá 85.32 - Nám til skipstjórnarréttinda, sjá 85.32"
"85.59.0","85590","P","Önnur ótalin fræðslustarfsemi","Til þessarar greinar telst: - Fræðslustarfsemi sem ekki er hægt að flokka eftir stigum - Bókleg einkakennsla - Námsmiðstöðvar sem bjóða upp á stuðningskennslu - Fagnámskeið til prófaundirbúnings - Tungumálakennsla og kennsla í samræðulist - Tölvuken","Til þessarar greinar telst einnig: - Björgunarþjálfun - Ræðuþjálfun - Kennsla í hraðlestri","Til þessarar greinar telst ekki: - Fullorðinsfræðsla í lestri og skrift, sjá 85.20"
"85.60.0","85600","P","Þjónusta við fræðslustarfsemi","Til þessarar greinar telst: - Námsráðgjöf - Starfsemi nemendaráðgjafar - Starfsemi við prófmat - Starfsemi við prófhald - Skipulagning nemendaskipta",,"Til þessarar greinar telst ekki: - Rannsóknir og þróunarstarf í félags- og hugvísindum, sjá 72.20"
"86.10.0","86100","Q","Sjúkrahús","Til þessarar greinar telst: - Starfsemi deildskiptra sjúkrahúsa, heilsuhæla, endurhæfingarstöðva og annarra stofnana innan heilbrigðiskerfisins þar sem tekið er við sjúklingum til innlagnar og þeim veitt dagleg hjúkrun og sérfræðiþjónusta lækna","Til þessarar greinar telst einnig: - Þjónusta rannsóknarstofa og tækniaðstaða, þ.m.t. á sviði geislunar- og svæfingarþjónustu - Matarþjónusta ásamt annarri þjónustu á sjúkrahúsum","Til þessarar greinar teljast ekki: - Tæknilegar prófanir og greiningar sem ekki eru af læknisfræðilegum toga, sjá 71.20 - Dýralækningar, sjá 75.00 - Tannlækningar, sjá 86.23 - Rannsóknarstofur í læknisfræði, sjá 86.90.3 - Sjúkraflutningar, sjá 86.90."
"86.21.0","86210","Q","Heilsugæsla og heimilislækningar","Til þessarar greinar telst: - Ráðgjöf og meðferð hjá heilsugæslu- og heimilislæknum sem getur farið fram á einkastofum lækna, heilsugæslustöðvum og göngudeildum sjúkrahúsa",,"Til þessarar greinar telst ekki: - Þjónusta við sjúklinga á legudeildum, sjá 86.10 - Starfsemi tengd lækningum, s.s. starfsemi ljósmæðra, hjúkrunarfræðinga og sjúkraþjálfara, sjá 86.90.1"
"86.22.0","86220","Q","Sérfræðilækningar","Til þessarar greinar telst: - Ráðgjöf og meðferð hjá sérfræðilæknum",,"Til þessarar greinar telst ekki: - Þjónusta við sjúklinga á legudeildum, sjá 86.10 - Starfsemi ljósmæðra, sjúkraþjálfara og annarra sem veita læknisfræðilega þjónustu, sjá 86.90"
"86.23.0","86230","Q","Tannlækningar","Til þessarar greinar telst: - Almennar eða sérhæfðar tannlækningar, t.d. tannviðgerðir, tannholslækningar og barnatannlækningar, munnmeinafræði - Tannréttingar","Til þessarar greinar teljast einnig: - Tannlækningar á skurðstofum","Til þessarar greinar teljast ekki: - Framleiðsla á gervitönnum, gervigómum og hjálpartækjum hjá tannsmiðum, sjá 32.50 - Þjónusta við sjúklinga á legudeildum, sjá 86.10 - Starfsemi aðila sem veita skylda þjónustu og tannlæknar s.s. tannfræðinga, sjá 86."
