"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"22.22.1","22221","C","Framleiðsla á plastvörum til nota í sjávarútvegi","Til þessarar greinar telst: - Framleiðsla á fiskikössum og kerum - Framleiðsla á lokum á fiskiker - Framleiðsla á netakúlum úr plasti",,
"22.22.9","22229","C","Framleiðsla á öðru umbúðaplasti","Til þessarar greinar telst: - Framleiðsla á plastvörum til pökkunar vöru, s.s. pokum, sekkjum, kössum, öskjum, kútum, flöskum o.þ.h. úr plasti.",,"Til þessarar greinar telst ekki: - Framleiðsla á ferðatöskum og handtöskum úr plasti, sjá 15.12"
"22.23.0","22230","C","Framleiðsla á byggingarvörum úr plasti","Til þessarar greinar telst: - Framleiðsla á hreinlætistækjum úr plasti, s.s. baðkerum, sturtubotnum, vöskum og salernisskálum  - Framleiðsla á öðrum byggingarvörum úr plasti, s.s. hurðum, gluggum, körmum, rimlatjöldum, gólflistum, vegg- og loftklæðningu",,
"22.29.0","22290","C","Framleiðsla á öðrum plastvörum","Til þessarar greinar telst: - Framleiðsla á borðbúnaði, eldhúsáhöldum og baðherbergisbúnaði úr plasti - Framleiðsla á ýmsum plastvörum, s.s. höfuðbúnaði, einangrunartengjum, hlutum til ljósabúnaðar, ýmsum flíkum (aðeins ef límdar saman en ekki saumaðar)",,"Til þessarar greinar telst ekki: - Framleiðsla á ferðatöskum úr plasti, sjá 15.12 - Framleiðsla á skófatnaði úr plasti, sjá 15.20 - Framleiðsla á húsgögnum úr plasti, sjá 31.01, 31.02, 31.09 - Framleiðsla á íþróttabúnaði úr plasti, sjá 32.30 - Framle"
"23.11.0","23110","C","Framleiðsla á flotgleri","Til þessarar greinar telst: - Framleiðsla á flotgleri, þ.m.t. vírlagt, litað eða skyggt flotgler",,
"23.12.0","23120","C","Skurður og vinnsla á flotgleri","Til þessarar greinar telst: - Framleiðsla á hertu eða lagskiptu flotgleri - Framleiðsla á glerspeglum - Framleiðsla á marglaga einangrunargleri",,
"23.13.0","23130","C","Framleiðsla á glerílátum","Til þessarar greinar telst: - Framleiðsla á flöskum og öðrum ílátum úr gleri eða kristal - Framleiðsla á glösum og öðrum heimilisvörum úr gleri eða kristal",,"Til þessarar greinar telst ekki: - Framleiðsla á leikföngum úr gleri, sjá 32.40"
"23.14.0","23140","C","Framleiðsla á glertrefjum","Til þessarar greinar telst: - Framleiðsla á glertrefjum, þ.m.t. glerull og óofnum vörum úr glerull",,"Til þessarar greinar telst ekki: - Framleiðsla ofinna dúka úr glergarni, sjá 13.10 - Framleiðsla á ljósleiðarakapli fyrir gagnasendingar eða beinar myndsendingar, sjá 27.31"
"23.19.0","23190","C","Framleiðsla og vinnsla á öðru gleri, þ.m.t. glervara til tæknilegra nota","Til þessarar greinar telst: - Framleiðsla á glervörum fyrir rannsóknarstofur, hreinlætisvörum og lyfjavörum úr gleri - Framleiðsla á klukkugleri eða úrgleri, sjóngleri og sjónglerjahlutum sem ekki eru fullunnir sem sjóngler - Framleiðsla á glervörum ti",,"Til þessarar greinar telst ekki: - Framleiðsla á fullunnum sjónglerjum og sjónglerjahlutum, sjá 26.70 - Framleiðsla á sprautum og öðrum læknisfræðilegum búnaði í rannsóknarstofur, sjá 32.50"
"23.20.0","23200","C","Framleiðsla á eldföstum vörum","Til þessarar greinar telst  framleiðsla á hálfunnum vörum úr málmlausum steinefnum sem eru annaðhvort unnin úr jörðu eða með grjótnámi, s.s. sandur, möl eða leir.  Til þessarar greinar telst: - Framleiðsla á eldföstu steinlími og steypu o.þ.h. - Framl","Til þessarar greinar telst einnig: - Framleiðsla á eldföstum hlutum sem innihalda magnesít, dólómít eða krómít",
"23.31.0","23310","C","Framleiðsla á flísum og hellum úr leir","Til þessarar greinar telst: - Framleiðsla á óeldföstum flísum úr leir fyrir eldstó eða veggi, mósaíkflísar o.þ.h. - Framleiðsla á óeldföstum flísum og gangstéttarhellum úr leir",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstum leirvörum sjá 23.20 - Framleiðsla á gervisteinum, sjá 22.23"
"23.32.0","23320","C","Framleiðsla á byggingarvörum úr brenndum leir","Til þessarar greinar telst: - Framleiðsla á byggingarefnum úr leir sem ekki er eldfastur, s.s. múrsteinum, þakflísum, pípum og rennum - Framleiðsla á gólfhellum úr brenndum leir",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstum leirvörum sjá 23.20 - Framleiðsla á öðrum vörum úr leir en eldföstum eða byggingarefnum, sjá 23.4"
"23.41.0","23410","C","Framleiðsla á heimilisvörum og skrautmunum úr leir og postulíni","Til þessarar greinar telst: - Framleiðsla á borðbúnaði og öðrum heimils- og hreinlætisvörum úr leir - Framleiðsla á styttum og öðrum skrautvörum úr leir",,"Til þessarar greinar telst ekki: - Framleiðsla á óekta skartgripum, sjá 32.13 - Framleiðsla á leikföngum úr leir, sjá 32.40"
"23.42.0","23420","C","Framleiðsla á hreinlætistækjum úr leir og postulíni","Til þessarar greinar telst: - Framleiðsla á hreinlætistækjum úr leir, t.d. vöskum, baðkerum og salernisskálum",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstum leirvörum sjá 23.20 - Framleiðsla á byggingarefnum úr leir, sjá 23.3"
"23.43.0","23430","C","Framleiðsla á einangrurum og tengjum úr leir","Til þessarar greinar telst: - Framleiðsla á rafmagnseinangrurum og –tengjum úr postulíni",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstum leirvörum, sjá 23.20"
"23.44.0","23440","C","Framleiðsla á annarri leirvöru til tæknilegra nota","Til þessarar greinar telst: - Framleiðsla á leirvörum til nota á rannsóknarstofum, í efnaiðnaði og öðrum iðnaði",,"Til þessarar greinar telst ekki: - Framleiðsla á gervisteinum, sjá 22.23 - Framleiðsla á eldföstum leirvörum, sjá 23.20 - Framleiðsla á byggingarefni úr leir, sjá 23.3"
"23.49.0","23490","C","Framleiðsla á öðrum leirvörum","Til þessarar greinar telst: - Framleiðsla á leirpottum, leirkrukkum og áþekkum vörum sem notaðar eru til flutninga eða pökkunar á vörum - Framleiðsla á leirvörum, ót.a.",,
"23.51.0","23510","C","Sementsframleiðsla","Til þessarar greinar telst: - Framleiðsla á sementi, þ.m.t. portlandsementi, álsementi, slaggsementi og súperfosfat sementi",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstu steinlími, steinsteypu o.þ.h., sjá 23.20 - Framleiðsla á tilbúnu og þurrblönduðu sementi og steinlími, sjá 23.63, 23.64 - Framleiðsla á vörum úr sementi, sjá 23.69 - Framleiðsla á sementi til n"
"23.52.0","23520","C","Kalk- og gifsframleiðsla","Til þessarar greinar telst: - Framleiðsla á óleskjuðu og leskjuðu kalki og hýdrólísku kalki - Framleiðsla á gifsefni úr brenndu gifsi eða brenndu súlfati","Til þessarar greinar telst einnig: - Framleiðsla á brenndu dólómíti","Til þessarar greinar telst ekki: - Framleiðsla á vörum úr gifsi, sjá 23.62, 23.69"
"23.61.0","23610","C","Framleiðsla á byggingarefni úr steinsteypu","Til þessarar greinar telst: - Framleiðsla á byggingarefni úr steypu, sementi eða vörum úr gervisteini fyrir húsbyggingar eða aðra mannvirkjagerð, s.s. flísum, hellusteinum, múrsteinum, þynnum, þiljum, pípum og stólpum - Framleiðsla á tilbúnum byggingare",,
"23.62.0","23620","C","Framleiðsla á byggingarefni úr gifsi","Til þessarar greinar telst: - Framleiðsla á gifsvörum fyrir byggingariðnað, s.s. plötum, þynnum og þiljum",,
"23.63.0","23630","C","Framleiðsla á tilbúinni steinsteypu","Til þessarar greinar telst: - Framleiðsla á tilbúinni steinsteypu og múrblöndum",,"Til þessarar greinar telst ekki: - Framleiðsla á eldfastri steypu, sjá 23.20"
"23.64.0","23640","C","Framleiðsla á steinlími","Til þessarar greinar telst: - Framleiðsla á steinlími í duftformi",,"Til þessarar greinar telst ekki: - Framleiðsla á eldföstu steinlími, sjá 23.20 - Framleiðsla á múrblöndum, sjá 23.63"
"23.65.0","23650","C","Framleiðsla á vörum úr trefjasementi","Til þessarar greinar telst: - Framleiðsla á byggingarefni úr jurtahlutum (tréull, hálmi, reyr, sefi) sem bundið er með sementi, gifsi eða öðru bindiefni úr steinefnum - Framleiðsla á vörum úr asbest- eða sellulósatrefjasementi o.þ.h., s.s. báruplötum, ö",,
"23.69.0","23690","C","Framleiðsla á öðrum vörum úr steinsteypu, sementi og gifsi","Til þessarar greinar telst: - Framleiðsla á öðrum vörum úr steinsteypu, gifsi, sementi eða gervisteini, s.s. styttum, húsgögnum, vösum og blómapottum",,
"23.70.0","23700","C","Steinsmíði","Til þessarar greinar telst: - Skurður, mótun og fínpússun steina til nota sem byggingarefni, sem legsteinar, til vegagerðar, sem þakefni o.þ.h. - Framleiðsla á húsgögnum úr steini",,"Til þessarar greinar telst ekki: - Grjótnám, sjá 08.11 - Framleiðsla á kvarnarsteinum, slípunarsteinum og áþekkum vörum, sjá 23.9"
"23.91.0","23910","C","Framleiðsla á vörum til slípunar","Til þessarar greinar telst: - Framleiðsla á kvarnarsteinum, skerpingar- eða fægisteinum og náttúrlegum eða tilbúnum vörum til slípunar, t.d. sandpappír.",,
"23.99.0","23990","C","Framleiðsla á öðrum ótöldum vörum úr málmlausum steinefnum","Til þessarar greinar telst: - Framleiðsla á núningsþolnu efni og hlutum úr því sem eru að stofni til úr steinefnum eða sellulósa - Framleiðsla á einangrunarefnum úr steinefnum, s.s. steinull, gjallull og svipuðum einangrunarefnum úr steinefnum  - Framl",,"Til þessarar greinar telst ekki: - Framleiðsla á glerull og óofnum vörum úr glerull, sjá 23.14 - Framleiðsla á grafítrafskautum, sjá 27.90"
"24.10.0","24100","C","Framleiðsla á járni, stáli og járnblendi","Til þessarar greinar telst: - Framleiðsla á steypujárni og spegiljárni í grófsteypustykkjum, blokkum, korni, dufti eða á öðru óunnu formi - Framleiðsla á járnblendi - Framleiðsla á mjög hreinu járni með rafgreiningu eða öðrum efnafræðilegum ferlum - E",,"Til þessarar greinar telst ekki: - Kalddráttur stanga, sjá 24.31"
"24.20.0","24200","C","Framleiðsla á rörum, pípum, holum prófílum og tengihlutum úr stáli",,,"Til þessarar greinar telst ekki: - Framleiðsla á heildregnum rörum og pípum steyptum úr stáli, sjá 24.52"
"24.31.0","24310","C","Kalddráttur stanga","Til þessarar greinar telst: - Dráttur stanga og gegnheilla prófíla úr stáli með kalddrætti, fínpússun eða rennismíði",,"Til þessarar greinar telst ekki: - Dráttur á vír, sjá 24.34"
"24.32.0","24320","C","Kaldvölsun flatstáls","Til þessarar greinar telst: - Framleiðsla á húðuðum eða óhúðuðum flatvölsuðum stálvörum í vafningum eða beinum lengjum, innan við 600 mm á breidd",,
"24.33.0","24330","C","Kaldmótun","Til þessarar greinar telst: - Framleiðsla á opnum prófílum með áframhaldandi mótun í völsunarvél eða fellingamyndun á pressu fyrir flatvalsaðar vörur úr stáli - Framleiðsla á kaldmótuðum eða kaldbeygðum, riffluðum plötum eða samlokueiningum.",,
"24.34.0","24340","C","Kalddráttur víra","Til þessarar greinar telst: - Framleiðsla á dregnum stálvír með kalddrætti stálvírsteina",,"Til þessarar greinar telst ekki: - Dráttur stanga og gegnheilla prófíla úr stáli, sjá 24.31 - Framleiðsla á vörum unnum úr vír, sjá 25.93"
"24.41.0","24410","C","Framleiðsla góðmálma","Til þessarar greinar telst: - Framleiðsla góðmálma og hreinsun á óunnum eða unnum góðmálmum, s.s. gulli, silfri, platínum o.þ.h. úr málmgrýti eða málmleifum    - Framleiðsla á málmblöndum úr góðmálmi - Framleiðsla á hálfunnum vörum úr góðmálmi - Framl","Til þessarar greinar telst einnig: - Framleiðsla á vír úr þessum málmum með drætti - Framleiðsla á flögum úr góðmálmi","Til þessarar greinar telst ekki: - Framleiðsla á skartgripum úr góðmálmi, sjá 32.12 - Steypa málma sem ekki innihalda járn, sjá 24.53 og 24.54"
"24.42.0","24420","C","Álframleiðsla","Til þessarar greinar telst: - Framleiðsla á áli úr súráli - Framleiðsla á áli með hreinsun brotaáls með rafgreiningu - Framleiðsla á álblendi - Framleiðsla á hálfunnu áli","Til þessarar greinar telst einnig: - Framleiðsla á álvír með drætti - Framleiðsla á súráli - Framleiðsla á álpappír til umbúða","Til þessarar greinar telst ekki: - Steypa málma sem ekki innihalda járn, sjá 24.53 og 24.54"
"24.43.0","24430","C","Blý-, sink- og tinframleiðsla","Til þessarar greinar telst: - Framleiðsla á blýi, sinki og tini úr málmgrýti - Framleiðsla á blýi, sinki og tini við hreinsun með rafgreiningu á blý-, sink- og tinleifum og -úrgangi - Framleiðsla á blý-, sink- og tinblöndum - Framleiðsla á hálfunnu bl","Til þessarar greinar telst einnig: - Framleiðsla á vír úr þessum málmum með drætti","Til þessarar greinar telst ekki: - Steypa málma sem ekki innihalda járn, sjá 24.53 og 24.54"
"24.44.0","24440","C","Koparframleiðsla","Til þessarar greinar telst: - Framleiðsla á kopar úr málmgrýti - Framleiðsla á kopar með hreinsun á koparleifum og -úrgangi með rafgreiningu  - Framleiðsla á koparblendi - Framleiðsla á kveikiþræði eða -leiðurum - Framleiðsla á hálfunnum kopar","Til þessarar greinar telst einnig: - Framleiðsla á koparvír með drætti","Til þessarar greinar telst ekki: - Steypa málma sem ekki innihalda járn, sjá 24.53 og 24.54"
"24.45.0","24450","C","Framleiðsla annarra málma sem ekki innihalda járn","Til þessarar greinar telst: - Framleiðsla á krómi, mangani, nikkel o.þ.h. úr málmgrýti eða oxíði - Framleiðsla á krómi, mangani, nikkel o.þ.h. við hreinsun með rafgreiningu og álhitahreinsun króm-, mangan-, nikkelleifum og -úrgangi o.þ.h. - Framleiðsla","Til þessarar greinar telst einnig: - Framleiðsla á vír úr þessum málmum með drætti","Til þessarar greinar telst ekki: - Steypa málma sem ekki innihalda járn, sjá 24.53 og 24.54"
"24.46.0","24460","C","Vinnsla á kjarnorkueldsneyti","Til þessarar greinar telst: - Framleiðsla á úranmálmi úr úransteindum eða öðru málmgrýti - Bræðsla og hreinsun úrans",,
"24.51.0","24510","C","Járnsteypa","Til þessarar greinar telst: - Steypa á hálfunnum vörum úr járni - Framleiðsla steyptra hluta úr grájárni - Framleiðsla hluta úr steypujárni með kúlugrafíti - Framleiðsla steyptra hluta til að hamra úr steypujárni - Framleiðsla á steypujárnsrörum og t",,
"24.52.0","24520","C","Stálsteypa","Til þessarar greinar telst: - Steypa á hálfunnum vörum úr stáli - Framleiðsla steyptra hluta úr steypustáli",,
"24.53.0","24530","C","Steypa léttmálma","Til þessarar greinar telst: - Steypa á hálfunnum vörum úr áli, magnesíum, títani, sinki o.þ.h. - Framleiðsla steyptra hluta úr léttmálmi",,
"24.54.0","24540","C","Steypa annarra málma sem ekki innihalda járn","Til þessarar greinar telst: - Framleiðsla steyptra hluta úr þungmálmum - Framleiðsla steyptra hluta úr góðmálmum - Mótsteypa steyptra málma sem ekki innihalda járn",,
"25.11.0","25110","C","Framleiðsla á  burðarvirkjum og byggingareiningum úr málmi","Til þessarar greinar telst: - Framleiðsla á málmburðargrindum eða hlutum þeirra fyrir byggingariðnað (turnar, möstur, grindarbitar, brýr o.þ.h.) - Framleiðsla á burðargrindum úr málmi til iðnaðarnota (burðargrindum fyrir bræðsluofna, búnaði til að lyfta",,"Til þessarar greinar telst ekki: - Framleiðsla á hlutum í skipa- eða aflkatla, sjá 25.30 - Framleiðsla á skipshlutum, sjá 30.11"
"25.12.0","25120","C","Framleiðsla á hurðum og gluggum úr málmi","Til þessarar greinar telst: - Framleiðsla á hurðum, gluggum, körmum, hlerum og hliðum úr málmi - Framleiðsla á milliveggjum úr málmi til að festa í gólf",,
"25.21.0","25210","C","Framleiðsla á miðstöðvarofnum og -kötlum",,,"Til þessarar greinar telst ekki: - Framleiðsla á rafmagnsofnum og vatnshiturum, sjá 27.51"
"25.29.0","25290","C","Framleiðsla á öðrum geymum, kerum og ílátum úr málmi","Til þessarar greinar telst: - Framleiðsla á kerum, geymum o.þ.h.,  oftast uppsettum til nota fyrir geymslu eða framleiðslu - Framleiðsla á málmílátum undir samþjappað eða fljótandi gas",,"Til þessarar greinar telst ekki: - Framleiðsla á ámum, tunnum, brúsum, fötum, kössum o.þ.h. úr málmi til flutninga og pökkunar á vörum (óháð stærð), sjá 25.91 - Framleiðsla á flutningagámum, sjá 29.20"
"25.30.0","25300","C","Framleiðsla á gufukötlum, þó ekki miðstöðvarkötlum","Til þessarar greinar telst: - Framleiðsla á gufukötlum og öðrum gufuaflskötlum - Framleiðsla á aukabúnaði fyrir gufukatla, s.s. eimsvölum, forhiturum, yfirhiturum, gufusöfnurum og -geymum - Framleiðsla á hlutum í skipa- eða aflkatla","Til þessarar greinar telst einnig: - Smíði og vinnsla röra fyrir lagnakerfi","Til þessarar greinar telst ekki: - Framleiðsla á miðstöðvarofnum og -kötlum, sjá 25.21 - Framleiðsla á gufuhverflasamstæðum, sjá 28.11 - Framleiðsla á samstæðuskiljum, sjá 28.99"
"25.40.0","25400","C","Vopna- og skotfæraframleiðsla","Til þessarar greinar telst: - Framleiðsla á þungavopnum  - Framleiðsla á byssum, skotvopnum og skotfærum  - Framleiðsla á sprengjum",,"Til þessarar greinar telst ekki: - Framleiðsla á hvellhettum, flugeldum eða merkjablysum, sjá 20.51 - Framleiðsla á sverðum, byssustingjum o.þ.h., sjá 25.71 - Framleiðsla á skriðdrekum o.þ.h., sjá 30.40"
"25.50.0","25500","C","Eldsmíði og önnur málmsmíði; sindurmótun","Til þessarar greinar telst: - Eldsmíði, þrýstismíði, stönsun og völsun málma - Sindurmótun: framleiðsla málmhluta úr málmsalla með hitameðhöndlun (glæðingi) eða með þrýstingi",,"Til þessarar greinar telst ekki: - Framleiðsla á málmsalla, sjá 24.1, 24.2"
"25.61.0","25610","C","Meðhöndlun og húðun málma","Til þessarar greinar telst: - Málmhúðun, skauthúðun o.þ.h.  - Hitameðferð málms - Sandblástur og hreinsun málma - Litun, gröftur eða prentun á málma - Húðun málma með öðrum efnum en málmum, s.s. plöstun, smeltun og lökkun - Herðing og fæging málms",,"Til þessarar greinar telst ekki: - Starfsemi járningamanna, sjá 01.62 - Málmhúðun plastefna, sjá 22.29 - Völsun góðmálma á ódýra málma eða aðra málma, sjá 24.41, 24.42, 24.43, 24.44"
"25.62.0","25620","C","Vélvinnsla málma","Til þessarar greinar telst: - Málmvinnsla, s.s. að gata, renna, fræsa, tæra, hefla, samslípa, rýma út, jafna, saga, slípa, skerpa, fága, rafsjóða og splæsa - Málmskurður og málmstunga með leysigeislum",,"Til þessarar greinar telst ekki: - Starfsemi járningamanna, sjá 01.62"
"25.71.0","25710","C","Framleiðsla á hnífapörum, hnífum, skærum, o.þ.h.","Til þessarar greinar telst: - Framleiðsla á hnífum og hnífpörum til heimilisnota, s.s. hnífum, göfflum og skeiðum - Framleiðsla á annars konar eggjárnsvöru, s.s. eldhússöxum, rakhnífum, rakblöðum, skærum og hárklippum - Framleiðsla á sverðum, byssustin",,"Til þessarar greinar telst ekki: - Framleiðsla á ýmsum kerum (pottar, katlar o.þ.h.), borðáhöldum (skálar, föt o.þ.h.) eða borðbúnaði (diskar, undirskálar o.þ.h.), sjá 25.99 - Framleiðsla á hnífum og hnífapörum úr góðmálmi, sjá 32.12"
"25.72.0","25720","C","Framleiðsla á lásum og lömum","Til þessarar greinar telst: - Framleiðsla á hengilásum, læsingum, lyklum, lömum o.þ.h. - Framleiðsla á hjörum og ýmiss konar járn og málmvöru fyrir byggingar, húsgögn, ökutæki o.þ.h.",,
"25.73.0","25730","C","Framleiðsla á verkfærum, þó ekki vélknúnum","Til þessarar greinar telst: - Framleiðsla á hnífum og skurðarblöðum í vélar eða tæki - Framleiðsla á handverkfærum, s.s. töngum og skrúfjárnum - Framleiðsla á handverkfærum fyrir landbúnað; garðverkfæri - Framleiðsla á sögum og sagarblöðum - Framleið",,"Til þessarar greinar telst ekki: - Framleiðsla á vélknúnum handverkfærum, sjá 28.24 - Framleiðsla á hrásteypumótum, sjá 28.91"
"25.91.0","25910","C","Framleiðsla á stáltunnum og svipuðum ílátum","Til þessarar greinar telst: - Framleiðsla á fötum, dósum, tunnum og kössum",,"Til þessarar greinar telst ekki: - Framleiðsla á geymum og kerum, sjá 25.2"
"25.92.0","25920","C","Framleiðsla á umbúðum úr léttmálmi","Til þessarar greinar telst: - Framleiðsla á ýmsum umbúðum úr léttmálmi, s.s. niðursuðudósum undir mat og drykkjarvöru, túpum, öskjum og kössum sem hægt er að brjóta saman - Framleiðsla á málmlokum",,
"25.93.0","25930","C","Framleiðsla á keðjum,  fjöðrum og vörum úr vír","Til þessarar greinar telst: - Framleiðsla á köplum úr málmi, vírfléttum og áþekkum hlutum - Framleiðsla á óeinangruðum eða einangruðum málmköplum sem ekki er hægt að nota til að leiða rafmagn - Framleiðsla á húðuðum eða kjörnuðum vír - Framleiðsla á v",,"Til þessarar greinar telst ekki: - Framleiðsla á fjöðrum í klukkur eða úr, sjá 26.53 - Framleiðsla á vír og kapli til rafmagnsdreifingar, sjá 27.32  - Framleiðsla á aflfærslukeðjum, sjá 28.15"
"25.94.0","25940","C","Framleiðsla á boltum og skrúfum","Til þessarar greinar telst: - Framleiðsla á hnoði, skífum og áþekkum vörum sem ekki eru snittaðar - Framleiðsla á boltum, skrúfum, róm og áþekkum snittuðum vörum",,
"25.99.0","25990","C","Framleiðsla á öðrum ótöldum málmvörum","Til þessarar greinar telst: - Framleiðsla á búsáhöldum úr málmi: • borðbúnaður: diskar, undirskálar o.þ.h. • pottar, katlar o.þ.h. • borðáhöld: skálar, föt o.þ.h. • skaftpottar, steikarpönnur önnur áhöld til eldunar og nota á matarborði • lítil hand",,"Til þessarar greinar telst ekki: - Framleiðsla á sverðum og byssustingjum, sjá 25.71 - Framleiðsla á innkaupakerrum, sjá 30.99 - Framleiðsla á húsgögnum úr málmi, sjá 31.01, 31.02, 31.09 - Framleiðsla á íþróttavörum, sjá 32.30 - Framleiðsla á leikfön"
"26.11.0","26110","C","Framleiðsla á rafeindaíhlutum","Til þessarar greinar telst framleiðsla hálfleiðara og annarra íhluta fyrir rafeindabúnað.   Til þessarar greinar telst: - Framleiðsla á rafeindaþéttum - Framleiðsla á rafeindaviðnámum - Framleiðsla á örgjörvum - Framleiðsla á rafeindarörum - Framle","Til þessarar greinar telst einnig: - Framleiðsla á prentarasnúrum, skjásnúrum, USB-snúrum, tengjum o.þ.h.","Til þessarar greinar telst ekki: - Prentun snjallkorta, sjá 18.12 - Framleiðsla á tölvu- og sjónvarpsskjám, sjá 26.20, 26.40 - Framleiðsla á mótöldum (flutningsbúnaður), sjá 26.12 - Framleiðsla á röntgenlömpum og áþekkum geislunarbúnaði, sjá 26.60 - "
"26.12.0","26120","C","Framleiðsla á fullbúnum rafeindaspjöldum","Til þessarar greinar telst: - Framleiðsla á fullbúnum prentrásaspjöldum - Ásetning íhluta á prentrásaspjöld - Framleiðsla tengikorta (t.d. hljóð, mynd, stjórnkort, net, mótöld)",,"Til þessarar greinar telst ekki: - Prentun snjallkorta, sjá 18.12 - Framleiðsla á auðum prentrásaspjöldum, sjá 26.11"
"26.20.0","26200","C","Framleiðsla á tölvum og jaðarbúnaði","Til þessarar greinar telst framleiðsla og/eða samsetning tölva, s.s. stórtölva, borðtölva, fartölva og tölvumiðlara og jaðarbúnaði fyrir tölvur, s.s. geymslubúnaði og ílags-/frálagstækjum (prentarar, skjáir, lyklaborð).   Til þessarar greinar telst: - ","Til þessarar greinar telst einnig: - Framleiðsla á tölvuútstöðvum á borð við hraðbanka og sölukassa sem starfa ekki vélrænt - Framleiðsla á fjölvirkum skrifstofubúnaði sem hægt er að nota til tveggja eða fleiri eftirfarandi verka: prentunar, skönnunar, ","Til þessarar greinar telst ekki: - Fjölföldun upptekins efnis (tölvumiðlar, hljóð, mynd o.þ.h.), sjá 18.2 - Framleiðsla á rafeindaíhlutum og rafeindasamstæðum til nota í tölvur og jaðarbúnað, sjá 26.12 - Framleiðsla á innri/ytri tölvumótöldum, sjá 26.1"
"26.30.0","26300","C","Framleiðsla fjarskiptabúnaðar","Til þessarar deildar telst framleiðsla síma- og gagnasamskiptabúnaðar sem notaður er til að flytja merki rafrænt með vírum eða þráðlaust, s.s. búnaður til útvarps- og sjónvarpsútsendinga og þráðlausra fjarskipta.  Til þessarar greinar telst: - Framleið",,"Til þessarar greinar telst ekki: - Framleiðsla á rafeindaíhlutum og undireiningum til nota í fjarskiptabúnað, þ.m.t. innri/ytri tölvumótöld, sjá 26.12 - Framleiðsla á tölvum og jaðarbúnaði fyrir tölvur, sjá 26.20 - Framleiðsla á hljóð- og myndbandabúna"
"26.40.0","26400","C","Framleiðsla á sjónvarps-, útvarps- og hljómtækjum og skyldum búnaði","Til þessarar greinar telst: - Framleiðsla á sjónvörpum og útvörpum - Framleiðsla á myndbandstækjum og fjölföldunarbúnaði, stafrænum myndspilurum og upptökutækjum - Framleiðsla á hljóðupptöku- og fjölföldunarkerfum - Framleiðsla á hljómflutningstækjum ",,"Til þessarar greinar telst ekki: - Fjölföldun upptekins efnis (tölvumiðlar, hljóð, mynd), sjá 18.2 - Framleiðsla á tölvuskjám og jaðarbúnaði í tölvur, sjá 26.20 - Framleiðsla á fjarskiptabúnaði, sjá 26.30 - Framleiðsla á stafrænum myndavélum, sjá 26.7"
"26.51.0","26510","C","Framleiðsla á tækjum og búnaði til mælinga, prófana og leiðsögu","Til þessarar greinar telst framleiðsla á kerfum og tækjum til leitar, greiningar, leiðsögu, stýringar, loftferða og siglinga, sjálfvirkum stjórnrofum og gangstillum fyrir tækjabúnað, s.s. hitunar-, loftræsti- og kælibúnað, verkfæri og tæki til að mæla, sý",,"Til þessarar greinar telst ekki: - Framleiðsla á geislunartækjum og búnaði til læknisfræðilegra prófana , sjá 26.60 - Framleiðsla á optískum staðsetningarbúnaði, sjá 26.70 - Framleiðsla á talritum, sjá 28.23 - Framleiðsla á vigtum (öðrum en vogum sem "
"26.52.0","26520","C","Framleiðsla á úrum og klukkum","Til þessarar greinar telst smíði á úrum, klukkum og tækjum til tímamælinga og hlutum til þeirra  Til þessarar greinar telst: - Smíði úra og klukkna af öllum gerðum - Framleiðsla á úra- og klukkukössum, þ.m.t. kassar úr góðmálmum - Framleiðsla á tímas",,"Til þessarar greinar telst ekki: - Framleiðsla á úrólum sem ekki eru úr málmi (úr textíl, leðri, plasti), sjá 15.12 - Framleiðsla á úrólum úr málmi, sjá 32.12, 32.13"
"26.60.0","26600","C","Framleiðsla á búnaði til geislunar, raftækjabúnaði til lækninga og meðferðar","Til þessarar greinar telst framleiðsla á raftækjabúnaði til lækninga, greininga og meðferðar, s.s. segulómtæki, ómsjár, rafhjartaritar og holsjár; framleiðsla á geislunartækjum til nota við sjúkdómsgreiningu, læknisfræðilegar meðferðir, iðnað, rannsóknir,","Til þessarar greinar telst einnig: - Framleiðsla á tækjum til að meðhöndla matvæli og mjólk með geislun","Til þessarar greinar telst ekki: - Framleiðsla á ljósabekkjum, sjá 28.99"
"26.70.0","26700","C","Framleiðsla á optískum tækjum og ljósmyndabúnaði","Til þessarar greinar telst framleiðsla á optískum tækjum og linsum, s.s. sjónaukum, smásjám (að undanskildum rafeinda-, róteinda-), prismum og linsum (að undanskildum augnlinsum). Til þessara greinar telst einnig framleiðsla á ljósmyndabúnaði s.s. myndavé",,"Til þessarar greinar telst ekki: - Framleiðsla á skjávörpum, sjá 26.20 - Framleiðsla á sjónvarps- og myndbandstökuvélum sem notaðar eru í atvinnuskyni, sjá 26.30 - Framleiðsla á myndbandstökuvélum til heimilisnota, sjá 26.40 - Framleiðsla á fullgerðum"
