"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"52454","Hljóðfæraverslun","47593","Smásala á hljóðfærum í sérverslunum"
"52459","Smásala á heimilistækjum, útvarps- og sjónvarpstækjum","47430","Smásala á hljóð- og myndbandsbúnaði í sérverslunum"
"52462","Málningar- og veggfóðurverslun","47530","Smásala á teppum, mottum, gluggatjöldum, vegg- og gólfefnum í sérverslunum"
"52470","Bóka- og ritfangaverslun","47610","Smásala á bókum í sérverslunum"
"52470","Bóka- og ritfangaverslun","47620","Smásala á dagblöðum og ritföngum í sérverslunum"
"52481","Gleraugna- og sjóntækjaverslun","47781","Smásala á gleraugum og sjóntækjum í sérverslunum"
"52482","Ljósmyndavöruverslun","47782","Smásala á ljósmyndavörum í sérverslunum"
"52483","Skartgripaverslun","47770","Smásala á úrum og skartgripum í sérverslunum"
"52484","Úraverslun","47770","Smásala á úrum og skartgripum í sérverslunum"
"52485","Gjafavöruverslun","47789","Önnur ótalin smásala á nýjum vörum í sérverslunum"
"52486","Sportvöruverslun","47640","Smásala á íþrótta- og tómstundabúnaði í sérverslunum"
"52487","Leikfangaverslun","47650","Smásala á spilum og leikföngum í sérverslunum"
"52488","Blómaverslun","47761","Smásala á blómum, plöntum, fræjum og áburði í sérverslunum"
"52489","Garðplöntustöðvar; túnþökusala","47761","Smásala á blómum, plöntum, fræjum og áburði í sérverslunum"
"52491","Gæludýraverslun","47762","Smásala á gæludýrum og gæludýrafóðri í sérverslunum"
"52492","Listmuna- og listaverkaverslun; gallerí","47783","Starfsemi listmunahúsa og listaverkasala"
"52493","Smásala á tölvum, skrifstofuvélum,  símum og fjarskiptabúnaði","47420","Smásala á fjarskiptabúnaði í sérverslunum"
"52493","Smásala á tölvum, skrifstofuvélum,  símum og fjarskiptabúnaði","47410","Smásala á tölvum, jaðarbúnaði og hugbúnaði í sérverslunum"
"52494","Smásala á  tjaldvögnum","45191","Sala á húsbílum og húsvögnum"
"52495","Smásala á reiðhjólum","47640","Smásala á íþrótta- og tómstundabúnaði í sérverslunum"
"52496","Smásala á barnavögnum og búnaði fyrir smábörn","47789","Önnur ótalin smásala á nýjum vörum í sérverslunum"
"52499","Önnur ótalin smásala í sérverslunum","47789","Önnur ótalin smásala á nýjum vörum í sérverslunum"
"52500","Smásala með notaða muni í verslunum","47790","Smásala á notuðum vörum í verslunum"
"52610","Póstverslun og önnur fjarverslun","47910","Smásala póstverslana eða um Netið"
"52620","Markaðir","47810","Smásala á mat-, drykkjar- og tóbaksvörum úr söluvögnum og á mörkuðum"
"52620","Markaðir","47820","Smásala á textílvörum, fatnaði og skófatnaði úr söluvögnum og á mörkuðum"
"52620","Markaðir","47890","Smásala á öðrum vörum úr söluvögnum og á mörkuðum"
"52630","Önnur smásala utan verslana","47790","Smásala á notuðum vörum í verslunum"
"52630","Önnur smásala utan verslana","47910","Smásala póstverslana eða um Netið"
"52630","Önnur smásala utan verslana","47990","Önnur smásala, ekki í verslunum, úr söluvögnum eða á mörkuðum"
"52710","Viðgerðir á skóm og öðrum leðurvörum","95230","Viðgerðir á skófatnaði og leðurvörum"
"52720","Viðgerðir á rafmagnsheimilistækjum","95220","Viðgerðir á heimilistækjum og heimilis- og garðyrkjuáhöldum"
"52720","Viðgerðir á rafmagnsheimilistækjum","95210","Viðgerðir á sjónvarps-, útvarps- og hljómtækjum og skyldum búnaði"
"52730","Viðgerðir á úrum, klukkum og skartgripum","95250","Viðgerðir á úrum, klukkum og skartgripum"
"52740","Aðrar ótaldar viðgerðir á hlutum til einkanota og heimilisnota","95290","Viðgerðir á öðrum hlutum til einka- og heimilisnota"
"55110","Hótel með veitingasölu","55101","Hótel og gistiheimili með veitingaþjónustu"
"55120","Hótel og gistiheimili án veitingasölu","55102","Hótel og gistiheimili án veitingaþjónustu"
"55210","Farfuglaheimili og fjallaskálar","55200","Orlofsdvalarstaðir og annars konar gistiaðstaða"
"55220","Tjaldstæði, þ. á m. hjólhýsastæði","55300","Tjaldsvæði, svæði fyrir húsbíla og hjólhýsi"
"55230","Bændagisting, orlofshúsasvæði og önnur ótalin gisting","55200","Orlofsdvalarstaðir og annars konar gistiaðstaða"
"55230","Bændagisting, orlofshúsasvæði og önnur ótalin gisting","55900","Önnur gistiaðstaða"
"55301","Matsölustaðir","56100","Veitingastaðir"
"55302","Skemmtistaðir með matsölu","56100","Veitingastaðir"
"55400","Krár, kaffihús, dansstaðir o.fl.","56300","Krár, kaffihús og dansstaðir o.þ.h."
"55510","Mötuneyti","56290","Önnur ótalin veitingaþjónusta"
"55520","Sala á tilbúnum mat","56210","Veisluþjónusta"
"60100","Járnbrautasamgöngur","49100","Farþegaflutningar með járnbrautarlestum milli borga"
"60100","Járnbrautasamgöngur","49200","Vöruflutningar með járnbrautarlestum"
"60210","Akstur strætisvagna og  áætlunarbíla","49310","Farþegaflutningar á landi, innanbæjar og í úthverfum"
"60210","Akstur strætisvagna og  áætlunarbíla","49390","Aðrir farþegaflutningar á landi"
"60220","Akstur leigubíla","49320","Rekstur leigubíla"
"60230","Aðrir farþegaflutningar á vegum","49390","Aðrir farþegaflutningar á landi"
"60241","Akstur sendibíla","49411","Akstur sendibíla"
"60241","Akstur sendibíla","49420","Flutningsþjónusta"
"60242","Akstur vörubíla","49412","Akstur vörubíla"
"60242","Akstur vörubíla","49420","Flutningsþjónusta"
"60243","Akstur flutningabíla","49419","Aðrir vöruflutningar á vegum"
"60243","Akstur flutningabíla","49420","Flutningsþjónusta"
"60300","Flutningur eftir leiðslum","49500","Flutningar eftir leiðslum"
"61100","Millilanda- og strandsiglingar","50100","Millilanda- og strandsiglingar með farþega"
"61100","Millilanda- og strandsiglingar","50200","Millilanda- og strandsiglingar með vörur"
"61200","Samgöngur á vatnaleiðum","50300","Farþegaflutningar á skipgengum vatnaleiðum"
"61200","Samgöngur á vatnaleiðum","50400","Vöruflutningar á skipgengum vatnaleiðum"
"62100","Áætlunarflug","51210","Vöruflutningar með flugi"
"62100","Áætlunarflug","51101","Farþegaflutningar með áætlunarflugi"
"62200","Leiguflug og þjónustuflug","51210","Vöruflutningar með flugi"
"62200","Leiguflug og þjónustuflug","51102","Farþegaflutningar með leiguflugi"
"62300","Geimferðir","51220","Geimferðir"
"63110","Vöruafgreiðsla","52240","Vöruafgreiðsla"
"63120","Vörugeymslur","52100","Vörugeymsla"
"63210","Bílastöðvar; önnur þjónusta tengd flutningum á landi","52210","Þjónustustarfsemi tengd flutningum á landi"
"63220","Önnur þjónusta tengd flutningum á sjó og vatnaleiðum","52220","Þjónustustarfsemi tengd flutningum á sjó og vatni"
"63230","Önnur þjónusta tengd flutningum í lofti","52230","Þjónustustarfsemi tengd flutningum með flugi"
"63300","Rekstur ferðaskrifstofa og önnur ótalin ferðaþjónusta","79110","Ferðaskrifstofur"
"63300","Rekstur ferðaskrifstofa og önnur ótalin ferðaþjónusta","79120","Ferðaskipuleggjendur"
"63300","Rekstur ferðaskrifstofa og önnur ótalin ferðaþjónusta","79900","Önnur bókunarþjónusta og önnur starfsemi tengd ferðaþjónustu"
"63400","Önnur flutningamiðlun","52290","Önnur þjónusta tengd flutningum"
"64110","Almenn póstþjónusta","53100","Almenn póstþjónusta"
"64120","Boðberaþjónusta, þó ekki almenn póstþjónusta","53200","Önnur póst- og boðberaþjónusta"
"64200","Síma- og fjarskiptaþjónusta","61100","Fjarskipti um streng"
"64200","Síma- og fjarskiptaþjónusta","61200","Þráðlaus fjarskipti"
"64200","Síma- og fjarskiptaþjónusta","61300","Gervihnattafjarskipti"
"64200","Síma- og fjarskiptaþjónusta","61900","Önnur fjarskiptastarfsemi"
"65110","Rekstur seðlabanka","64110","Starfsemi seðlabanka"
"65120","Rekstur banka og sparisjóða","64190","Önnur fjármálafyrirtæki"
"65210","Eignarleiga","64910","Fjármögnunarleiga"
"65221","Fjárfestingarlánasjóðir","64920","Önnur lánaþjónusta"
"65222","Starfsemi greiðslukortafyrirtækja","64920","Önnur lánaþjónusta"
"65231","Verðbréfasjóðir","64300","Fjárvörslusjóðir, sjóðir og önnur sérhæfð fjársýslufélög"
"65231","Verðbréfasjóðir","64200","Starfsemi eignarhaldsfélaga"
"65239","Önnur ótalin fjármálastarfsemi","64990","Önnur ótalin fjármálaþjónusta, þó ekki vátryggingafélög og lífeyrissjóðir"
"65239","Önnur ótalin fjármálastarfsemi","64300","Fjárvörslusjóðir, sjóðir og önnur sérhæfð fjársýslufélög"
"65239","Önnur ótalin fjármálastarfsemi","64200","Starfsemi eignarhaldsfélaga"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","77400","Leiga á hugverkum og skyldum eignum sem ekki njóta höfundarréttar"
"66010","Líftryggingar","65110","Líftryggingar"
"66010","Líftryggingar","65200","Endurtryggingar"
"66021","Sameignarsjóðir","65300","Lífeyrissjóðir"
"66022","Séreignarsjóðir","65300","Lífeyrissjóðir"
"66029","Aðrar lífeyristryggingar","65300","Lífeyrissjóðir"
"66030","Skaðatryggingar","65120","Skaðatryggingar"
"66030","Skaðatryggingar","65200","Endurtryggingar"
"67110","Kauphallarstarfsemi","66110","Stjórnun fjármálamarkaða"
"67120","Verðbréfamiðlun","66120","Starfsemi við miðlun verðbréfa og hrávörusamninga"
"67120","Verðbréfamiðlun","66300","Stýring verðbréfasjóða"
"67130","Önnur ótalin starfsemi tengd fjármálaþjónustu","66190","Önnur ótalin starfsemi tengd fjármálaþjónustu, þó ekki vátryggingafélögum og lífeyrissjóðum"
"67200","Starfsemi tengd vátryggingafélögum og lífeyrissjóðum","66290","Önnur starfsemi tengd vátryggingum og lífeyrissjóðum"
"67200","Starfsemi tengd vátryggingafélögum og lífeyrissjóðum","66210","Áhættu- og tjónamat"
"67200","Starfsemi tengd vátryggingafélögum og lífeyrissjóðum","66220","Starfsemi umboðsmanna og miðlara í vátryggingum"
"70110","Lóða- og byggingarumsýsla, fjármögnun og sala fasteigna","41100","Þróun byggingarverkefna"
"70120","Kaup og sala á eigin fasteignum","68100","Kaup og sala á eigin fasteignum"
"70201","Leiga íbúðarhúsnæðis","68201","Leiga íbúðarhúsnæðis"
"70202","Leiga atvinnuhúsnæðis","68202","Leiga atvinnuhúsnæðis"
"70203","Leiga á landi og landréttindum","93190","Önnur íþróttastarfsemi"
"70310","Fasteignamiðlun","68310","Fasteignamiðlun"
"70321","Starfsemi húsfélaga íbúðareigenda","94991","Starfsemi húsfélaga íbúðareigenda"
"70329","Annar fasteignarekstur","68320","Fasteignarekstur gegn þóknun eða samkvæmt samningi"
"70329","Annar fasteignarekstur","81100","Blönduð fasteignarumsýsla"
"71100","Bílaleiga","77110","Leiga á bifreiðum og léttum vélknúnum ökutækjum"
"71210","Leiga annarra tækja til landflutninga","77120","Leiga á vörubifreiðum"
"71220","Báta- og skipaleiga","77340","Leiga á búnaði til flutninga á sjó- og vatnaleiðum"
"71230","Leiga á loftförum","77350","Leiga á loftförum"
"71310","Leiga landbúnaðarvéla og -tækja","77310","Leiga á landbúnaðarvélum og -tækjum"
"71320","Leiga vinnuvéla og tækja til byggingariðnaðar","77320","Leiga á vinnuvélum og tækjum til byggingaframkvæmda og mannvirkjagerðar"
"71330","Leiga á skrifstofuvélum og tölvum","77330","Leiga á tölvum, skrifstofuvélum og -búnaði"
"71340","Önnur ótalin véla- og tækjaleiga","77390","Leiga á öðrum ótöldum vélum og búnaði"
"71401","Myndbandaleiga","77220","Leiga á myndböndum og -diskum"
"71409","Leiga á öðrum ótöldum munum til einka- og heimilisnota","77210","Leiga á tómstunda- og íþróttavörum"
"71409","Leiga á öðrum ótöldum munum til einka- og heimilisnota","77290","Leiga á öðrum ótöldum munum til einka- og heimilisnota"
"72100","Ráðgjöf varðandi tölvuvélbúnað","62020","Ráðgjafarstarfsemi á sviði upplýsingatækni"
"72200","Hugbúnaðargerð; ráðgjöf varðandi hugbúnað","62010","Hugbúnaðargerð"
"72200","Hugbúnaðargerð; ráðgjöf varðandi hugbúnað","62020","Ráðgjafarstarfsemi á sviði upplýsingatækni"
"72300","Gagnavinnsla","62030","Rekstur tölvukerfa"
"72300","Gagnavinnsla","63110","Gagnavinnsla, hýsing og tengd starfsemi"
"72400","Rekstur gagnabanka","63120","Vefgáttir"
"72400","Rekstur gagnabanka","63110","Gagnavinnsla, hýsing og tengd starfsemi"
"72400","Rekstur gagnabanka","58190","Önnur útgáfustarfsemi"
"72400","Rekstur gagnabanka","58120","Útgáfa skráa og póstlista"
"72500","Viðhald og viðgerðir á skrifstofu- og bókhaldsvélum og tölvum","33120","Viðgerðir á vélbúnaði"
"72500","Viðhald og viðgerðir á skrifstofu- og bókhaldsvélum og tölvum","95110","Viðgerðir á tölvum og jaðarbúnaði"
"72600","Önnur starfsemi tengd tölvum og gagnavinnslu","62090","Önnur þjónustustarfsemi á sviði upplýsingatækni"
"73100","Rannsóknir og þróunarstarf í raun- og tæknivísindum","72110","Rannsóknir og þróunarstarf í líftækni"
"73100","Rannsóknir og þróunarstarf í raun- og tæknivísindum","72190","Aðrar rannsóknir og þróunarstarf í raunvísindum og verkfræði"
"73200","Rannsóknir og þróunarstarf í félags- og hugvísindum","72200","Rannsóknir og þróunarstarf í félags- og hugvísindum"
"74110","Lögfræðiþjónusta","69100","Lögfræðiþjónusta"
"74120","Bókhaldsþjónusta, endurskoðun og skattaráðgjöf","69200","Reikningshald, bókhald og endurskoðun; skattaráðgjöf"
"74130","Markaðsrannsóknir og skoðanakannanir","73200","Markaðsrannsóknir og skoðanakannanir"
"74141","Landbúnaðarráðunautar","70220","Viðskiptaráðgjöf og önnur rekstrarráðgjöf"
"74149","Rekstrarráðgjöf, þó ekki í landbúnaði","70210","Almannatengsl"
"74149","Rekstrarráðgjöf, þó ekki í landbúnaði","70220","Viðskiptaráðgjöf og önnur rekstrarráðgjöf"
"74150","Rekstur eignarhaldsfélaga","64200","Starfsemi eignarhaldsfélaga"
"74150","Rekstur eignarhaldsfélaga","70100","Starfsemi höfuðstöðva"
"74201","Verkfræðiráðgjöf og önnur tækniráðgjöf við byggingarframkvæmdir og mannvirkjagerð","71121","Starfsemi verkfræðinga og skyld tæknileg ráðgjöf"
"74202","Verkfræðiráðgjöf varðandi framleiðslu- og véltækni","71121","Starfsemi verkfræðinga og skyld tæknileg ráðgjöf"
"74203","Starfsemi arkitekta og tækniráðgjöf tengd byggingum","71110","Starfsemi arkitekta og skyld tæknileg ráðgjöf"
"74204","Jarðfræðilegar rannsóknir og könnun jarðefna","71122","Starfsemi á sviði landmælinga; jarðfræðilegar rannsóknir"
"74205","Könnun lands","71122","Starfsemi á sviði landmælinga; jarðfræðilegar rannsóknir"
"74206","Einkaleyfisskrifstofur","74900","Önnur ótalin sérfræðileg, vísindaleg og tæknileg starfsemi"
"74209","Önnur tækniráðgjöf verkfræðinga og tæknifræðinga","71121","Starfsemi verkfræðinga og skyld tæknileg ráðgjöf"
"74300","Tæknilegar prófanir og greining","71200","Tæknilegar prófanir og greining"
"74401","Starfsemi auglýsingastofa","73110","Auglýsingastofur"
"74409","Önnur auglýsingastarfsemi","73120","Auglýsingamiðlun"
"74500","Vinnumiðlun og ráðningarþjónusta","78100","Ráðningarstofur"
"74500","Vinnumiðlun og ráðningarþjónusta","78200","Starfsmannaleigur"
"74500","Vinnumiðlun og ráðningarþjónusta","78300","Önnur þjónusta tengd starfsmannahaldi"
"74600","Eftirgrennslan og öryggisþjónusta","80100","Einkarekin öryggisþjónusta"
"74600","Eftirgrennslan og öryggisþjónusta","80200","Starfsemi við öryggiskerfaþjónustu"
"74600","Eftirgrennslan og öryggisþjónusta","80300","Rannsóknarstarfsemi"
"74700","Ræstingar, sótthreinsun og meindýraeyðing","81210","Almenn þrif bygginga"
"74700","Ræstingar, sótthreinsun og meindýraeyðing","81220","Önnur þrif á byggingum og í iðnaði"
"74700","Ræstingar, sótthreinsun og meindýraeyðing","81290","Önnur ótalin hreingerningarþjónusta"
"74810","Ljósmyndaþjónusta","74200","Ljósmyndaþjónusta"
"74820","Pökkunarstarfsemi","82920","Pökkunarstarfsemi"
"74831","Þýðingar og túlkun","74300","Þýðingar- og túlkunarþjónusta"
"74832","Skrifstofuþjónusta","82110","Blönduð skrifstofuþjónusta"
"74832","Skrifstofuþjónusta","82190","Ljósritun, meðferð skjala og önnur sérhæfð skrifstofuþjónusta"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","63990","Önnur ótalin starfsemi á sviði upplýsingaþjónustu"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","74100","Sérhæfð hönnun"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","74900","Önnur ótalin sérfræðileg, vísindaleg og tæknileg starfsemi"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","82300","Skipulagning á ráðstefnum og vörusýningum"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","82910","Innheimtuþjónusta og upplýsingar um lánstraust"
"74840","Önnur ótalin viðskipti og sérhæfð þjónusta","82990","Önnur ótalin þjónusta við atvinnurekstur"
"75110","Almenn stjórnsýsla og löggjöf","84110","Almenn stjórnsýsla og löggjöf"
"75120","Stjórnsýsla á sviði heilbrigðisþjónustu, mennta- og menningarmála og félagsmála, þó ekki almannatryggingar","84120","Stjórnsýsla á sviði heilbrigðisþjónustu, mennta- og menningarmála og félagsmála, þó ekki almannatryggingar"
"75130","Stjórnsýsla í þágu atvinnuveganna","84130","Stjórnsýsla í þágu atvinnuveganna"
"75140","Þjónustustarfsemi fyrir hið opinbera","81100","Blönduð fasteignarumsýsla"
"75140","Þjónustustarfsemi fyrir hið opinbera","84110","Almenn stjórnsýsla og löggjöf"
"75210","Utanríkisþjónusta","84210","Utanríkisþjónusta"
"75220","Varnarmál","84220","Varnarmál"
"75230","Dómstólar og fangelsi","84230","Dómstólar og fangelsi"
"75240","Löggæsla","84240","Löggæsla og almannaöryggi"
"75250","Slökkviliðs- og björgunarstarfsemi","84250","Slökkviliðs- og björgunarstarfsemi"
"75300","Almannatryggingar","84300","Almannatryggingar"
"85322","Leikskólar og önnur dagvistun barna","88911","Starfsemi dagmæðra og önnur dagvistun ungbarna"
"80100","Fræðslustarfsemi á grunnskólastigi","85200","Fræðslustarfsemi á grunnskólastigi"
"80210","Fræðslustarfsemi á framhaldsskólastigi - bóknám","85310","Fræðslustarfsemi á framhaldsskólastigi - bóknám"
"80220","Fræðslustarfsemi á framhaldsskólastigi - iðn- og verknám","85320","Fræðslustarfsemi á framhaldsskólastigi – iðn- og verknám"
"80300","Fræðslustarfsemi á æðra námsstigi","85410","Fræðslustarfsemi á viðbótarstigi"
"80300","Fræðslustarfsemi á æðra námsstigi","85420","Fræðslustarfsemi á háskólastigi"
"80410","Ökuskólar, flugskólar o.fl.","85530","Ökuskólar, flugskólar o.þ.h."
"80421","Öldungadeildir framhaldsskóla","85320","Fræðslustarfsemi á framhaldsskólastigi – iðn- og verknám"
"80429","Önnur fullorðinsfræðsla og ótalin fræðsla","85510","Íþrótta- og tómstundakennsla"
"80422","Tónlistarskólar","85520","Listnám"
"80429","Önnur fullorðinsfræðsla og ótalin fræðsla","85600","Þjónusta við fræðslustarfsemi"
"85111","Deildskipt sjúkrahús","86100","Sjúkrahús"
"85112","Sjúkrahús með takmarkaða sérfræðiþjónustu","86100","Sjúkrahús"
"85113","Endurhæfing","86100","Sjúkrahús"
"85115","Áfengismeðferð","86100","Sjúkrahús"
"85121","Heilsugæsla","86210","Heilsugæsla og heimilislækningar"
"85122","Sérfræðiþjónusta lækna","86220","Sérfræðilækningar"
"85131","Tannlækningar","86230","Tannlækningar"
"85132","Tannsmíðar","32500","Framleiðsla á tækjum og vörum til lækninga og tannlækninga"
"85141","Starfsemi sjúkraþjálfara","86901","Starfsemi sjúkraþjálfara"
"85142","Starfsemi sálfræðinga","86902","Starfsemi sálfræðinga"
"85143","Rannsóknarstofur í læknisfræði","86903","Rannsóknarstofur í læknisfræði"
"85144","Sjúkraflutningar","86909","Önnur ótalin heilbrigðisþjónusta"
"85114","Hjúkrunarvistun","87100","Dvalarheimili með hjúkrun"
"85149","Önnur heilbrigðisþjónusta","86909","Önnur ótalin heilbrigðisþjónusta"
"85200","Dýralækningar","75000","Dýralækningar"
"85311","Heimili fyrir börn og unglinga","87900","Önnur ótalin dvalarheimili"
"85312","Vistun á einkaheimilum","87900","Önnur ótalin dvalarheimili"
"85313","Dvalarheimili fyrir aldraða","87301","Dvalarheimili fyrir aldraða"
"85314","Heimili fyrir fatlaða","87302","Heimili fyrir fatlaða"
"85315","Stofnanir fyrir fíkniefnaneytendur og áfengissjúklinga","87200","Dvalarheimili á sviði þroskahömlunar, geðheilbrigðis og vímuefnamisnotkunar"
"85319","Aðrar stofnanir","87200","Dvalarheimili á sviði þroskahömlunar, geðheilbrigðis og vímuefnamisnotkunar"
"85319","Aðrar stofnanir","87900","Önnur ótalin dvalarheimili"
"85321","Daggæsla í heimahúsum","88911","Starfsemi dagmæðra og önnur dagvistun ungbarna"
"85323","Skóladagheimili","88912","Starfsemi skóladagheimila og frístundaheimila"
"85324","Félagsmiðstöðvar og æskulýðsstarfsemi","88990","Önnur ótalin félagsþjónusta án dvalar á stofnun"
"85325","Heimaþjónusta","88100","Félagsþjónusta án gistiaðstöðu fyrir aldraða og fatlaða"
"85326","Dagvistun fyrir fullorðna","88100","Félagsþjónusta án gistiaðstöðu fyrir aldraða og fatlaða"
"85327","Þjálfunarstöðvar, verndaðir vinnustaðir o.þ.h.","88100","Félagsþjónusta án gistiaðstöðu fyrir aldraða og fatlaða"
"85328","Líknarfélög og annað hjálparstarf félagssamtaka","88990","Önnur ótalin félagsþjónusta án dvalar á stofnun"
"85329","Félagsráðgjöf og félagsleg aðstoð","88990","Önnur ótalin félagsþjónusta án dvalar á stofnun"
"85331","Minningar- og styrktarsjóðir","88990","Önnur ótalin félagsþjónusta án dvalar á stofnun"
"85339","Önnur ótalin félagsleg aðstoð án dvalar á stofnun","88990","Önnur ótalin félagsþjónusta án dvalar á stofnun"
"90000","Skólpveitur, sorphreinsun, hreinsunardeildir og skyld starfsemi","38120","Söfnun hættulegs úrgangs"
"90000","Skólpveitur, sorphreinsun, hreinsunardeildir og skyld starfsemi","38210","Meðhöndlun og förgun hættulítils sorps"
"90000","Skólpveitur, sorphreinsun, hreinsunardeildir og skyld starfsemi","38220","Meðhöndlun og förgun hættulegs úrgangs"
"91110","Félagastarfsemi atvinnuveganna og vinnuveitenda","94110","Starfsemi samtaka í atvinnulífinu og félaga atvinnurekenda"
"91120","Starfsemi fagfélaga","94120","Starfsemi fagfélaga"
"91200","Starfsemi stéttarfélaga","94200","Starfsemi stéttarfélaga"
"91311","Þjóðkirkjan","94910","Starfsemi trúfélaga"
"91319","Önnur trúfélög","94910","Starfsemi trúfélaga"
"91320","Starfsemi stjórnmálasamtaka","94920","Starfsemi stjórnmálasamtaka"
"91330","Önnur ótalin félagastarfsemi","94999","Starfsemi annarra ótalinna félagasamtaka"
"92110","Framleiðsla kvikmynda og myndbanda","59200","Hljóðupptaka og tónlistarútgáfa"
"92110","Framleiðsla kvikmynda og myndbanda","59110","Framleiðsla á kvikmyndum, myndböndum og sjónvarpsefni"
"92110","Framleiðsla kvikmynda og myndbanda","59120","Eftirvinnsla kvikmynda, myndbanda og sjónvarpsefnis"
"92120","Dreifing kvikmynda og myndbanda","59130","Dreifing á kvikmyndum, myndböndum og sjónvarpsefni"
"92130","Rekstur kvikmyndahúsa","59140","Kvikmyndasýningar"
"92200","Starfsemi útvarps- og sjónvarpsstöðva","60100","Útvarpsútsending og dagskrárgerð"
"92200","Starfsemi útvarps- og sjónvarpsstöðva","60200","Sjónvarpsútsendingar og dagskrárgerð"
"92310","Starfsemi listamanna","90010","Sviðslistir"
"92310","Starfsemi listamanna","90020","Þjónusta við sviðslistir"
"92310","Starfsemi listamanna","90030","Listsköpun"
"92320","Rekstur húsnæðis og aðstöðu fyrir menningarstarfsemi","90040","Rekstur húsnæðis og annarrar aðstöðu fyrir menningarstarfsemi"
"92330","Rekstur skemmtigarða","93210","Starfsemi skemmti- og þemagarða"
"92340","Önnur ótalin menningar- og afþreyingarstarfsemi","90010","Sviðslistir"
"92340","Önnur ótalin menningar- og afþreyingarstarfsemi","93290","Önnur ótalin skemmtun og tómstundastarf"
"92340","Önnur ótalin menningar- og afþreyingarstarfsemi","85520","Listnám"
"92400","Starfsemi sjálfstæðra fréttastofa","63910","Starfsemi fréttastofa"
"92400","Starfsemi sjálfstæðra fréttastofa","90030","Listsköpun"
"92511","Almenningsbókasöfn","91010","Starfsemi bóka- og skjalasafna"
"92512","Þjóðbókasafn, rannsóknar- og háskólabókasöfn","91010","Starfsemi bóka- og skjalasafna"
"92513","Skjalasöfn","91010","Starfsemi bóka- og skjalasafna"
"92520","Starfsemi annarra safna og varðveisla sögulegra staða og bygginga","91020","Starfsemi safna"
"92520","Starfsemi annarra safna og varðveisla sögulegra staða og bygginga","91030","Rekstur sögulegra staða og bygginga og áþekkra ferðamannastaða"
"92530","Rekstur grasagarða, dýragarða og þjóðgarða","91040","Starfsemi grasagarða, dýragarða og þjóðgarða"
"92610","Rekstur íþróttamannvirkja","93110","Rekstur íþróttamannvirkja"
"92620","Íþróttafélög; önnur íþróttastarfsemi","85510","Íþrótta- og tómstundakennsla"
"92620","Íþróttafélög; önnur íþróttastarfsemi","93120","Starfsemi íþróttafélaga"
"92620","Íþróttafélög; önnur íþróttastarfsemi","93190","Önnur íþróttastarfsemi"
"92710","Happdrætti og veðmálastarfsemi","92000","Fjárhættu- og veðmálastarfsemi"
"92720","Önnur ótalin tómstundastarfsemi","93290","Önnur ótalin skemmtun og tómstundastarf"
"93010","Þvottahús og efnalaugar","96010","Þvottahús og efnalaugar"
"93020","Hárgreiðslu- og snyrtistofur","96022","Snyrtistofur"
"93030","Útfararþjónusta","96030","Útfararþjónusta og tengd starfsemi"
"93040","Heilsuræktarstarfsemi, sólbaðstofur o.þ.h.","93130","Heilsu- og líkamsræktarstöðvar"
"93040","Heilsuræktarstarfsemi, sólbaðstofur o.þ.h.","96040","Nuddstofur, sólbaðsstofur, gufuböð o.þ.h."
"93050","Önnur ótalin persónuleg þjónustustarfsemi","96090","Önnur ótalin þjónustustarfsemi"
"95000","Heimilishald með launuðu starfsfólki","97000","Heimilishald með launuðu starfsfólki"
"97000","Engin starfsemi","99999","Óþekkt starfsemi"
"98000","Ótilgreind starfsemi","99999","Óþekkt starfsemi"
"99001","Starfsemi Varnarliðsins","99000","Starfsemi alþjóðlegra stofnana og samtaka með úrlendisrétt"
"99009","Erlend sendiráð og önnur alþjóðastarfsemi","99000","Starfsemi alþjóðlegra stofnana og samtaka með úrlendisrétt"
"29400","Framleiðsla smíðavéla og viðhald","28240","Framleiðsla á aflknúnum handverkfærum"
"29400","Framleiðsla smíðavéla og viðhald","27900","Framleiðsla á öðrum rafbúnaði"
"29400","Framleiðsla smíðavéla og viðhald","28490","Framleiðsla á öðrum ótöldum smíðavélum"
"40100","Rafmagnsveitur","35120","Flutningur rafmagns"
"40100","Rafmagnsveitur","35130","Dreifing rafmagns"
"40100","Rafmagnsveitur","35140","Viðskipti með rafmagn"
"40200","Gasveitur","35210","Gasframleiðsla"
"51651","Heildverslun með veiðarfæri og fiskvinnsluvélar","46691","Heildverslun með skipsbúnað, veiðarfæri og fiskvinnsluvélar"
"51659","Heildverslun með annan ótalinn búnað og vélar til nota í iðnaði, verslun, siglingum og flugi","46699","Heildverslun með aðrar ótaldar vélar og tæki"
"72200","Hugbúnaðargerð; ráðgjöf varðandi hugbúnað","58290","Önnur hugbúnaðarútgáfa"
"72200","Hugbúnaðargerð; ráðgjöf varðandi hugbúnað","58210","Útgáfa tölvuleikja"
"74832","Skrifstofuþjónusta","82200","Símsvörun og úthringiþjónusta"
