"ÍSAT95","Ísat_heiti","ÍSAT2008","ÍSAT2008_heiti"
"15206","Vinnsla á fersku sjávarfangi","10209","Önnur ótalin vinnsla fiskafurða, krabbadýra og lindýra"
"15207","Mjöl- og lýsisvinnsla","10203","Mjöl- og lýsisvinnsla"
"15208","Lagmetisiðja og framleiðsla sjávarrétta","10850","Framleiðsla á tilbúnum máltíðum og réttum"
"15208","Lagmetisiðja og framleiðsla sjávarrétta","10204","Framleiðsla lagmetis úr fiskafurðum, krabbadýrum og lindýrum"
"15209","Önnur ótalin fiskvinnsla","10850","Framleiðsla á tilbúnum máltíðum og réttum"
"15209","Önnur ótalin fiskvinnsla","10209","Önnur ótalin vinnsla fiskafurða, krabbadýra og lindýra"
"15310","Vinnsla á kartöflum","10310","Vinnsla á kartöflum"
"15320","Framleiðsla ávaxta- og grænmetissafa","10320","Framleiðsla á ávaxta- og grænmetissafa"
"15330","Önnur ótalin vinnsla ávaxta og grænmetis","10850","Framleiðsla á tilbúnum máltíðum og réttum"
"15330","Önnur ótalin vinnsla ávaxta og grænmetis","10390","Önnur ótalin vinnsla ávaxta og grænmetis"
"15410","Framleiðsla óhreinsaðrar olíu og feiti","10410","Framleiðsla á olíu og feiti"
"15420","Framleiðsla hreinsaðrar olíu og feiti","10410","Framleiðsla á olíu og feiti"
"15430","Framleiðsla smjörlíkis og svipaðrar feiti til manneldis","10420","Framleiðsla á smjörlíki og svipaðri feiti til manneldis"
"15510","Mjólkurbú og ostagerð","10510","Mjólkurbú og ostagerð"
"15520","Ísgerð","10520","Ísgerð"
"15610","Framleiðsla á kornvöru","10610","Framleiðsla á kornvöru"
"15620","Framleiðsla á mjölva og mjölvavöru","10620","Framleiðsla á mjölva og mjölvavöru"
"15711","Framleiðsla húsdýrafóðurs","10910","Framleiðsla húsdýrafóðurs"
"15712","Framleiðsla fiskeldisfóðurs","10910","Framleiðsla húsdýrafóðurs"
"15713","Framleiðsla þörungamjöls","10910","Framleiðsla húsdýrafóðurs"
"15720","Framleiðsla gæludýrafóðurs","10920","Framleiðsla gæludýrafóðurs"
"15810","Brauðgerðir og bakarí","10710","Framleiðsla á brauði, nýju sætabrauði og kökum"
"15820","Kex- og kökuframleiðsla","10720","Framleiðsla á tvíbökum og kexi, framleiðsla á geymsluþolnu sætabrauði og kökum"
"15830","Sykurframleiðsla","10810","Sykurframleiðsla"
"15840","Súkkulaði- og sælgætisgerð; kakóframleiðsla","10820","Framleiðsla á súkkulaði og sælgæti; kakói"
"15850","Framleiðsla á pastavörum og svipuðum vörum","10730","Framleiðsla á pastavörum og svipuðum vörum"
"15860","Te- og kaffiframleiðsla","10830","Te- og kaffivinnsla"
"15870","Krydd- og bragðefnaframleiðsla","10840","Framleiðsla á bragðefnum og kryddi"
"15880","Framleiðsla á jafnblönduðum matvælum, sjúkra- og sérfæði","10860","Framleiðsla á jafnblönduðum matvælum og sérfæði"
"15890","Annar ótalinn matvælaiðnaður","10890","Önnur ótalin framleiðsla á matvælum"
"15910","Framleiðsla eimaðra áfengra drykkja","11010","Eiming, hreinsun og blöndun áfengra drykkja"
"15920","Framleiðsla á hráum spíritus","20140","Framleiðsla á öðrum lífrænum grunnefnum til efnaiðnaðar"
"15920","Framleiðsla á hráum spíritus","11010","Eiming, hreinsun og blöndun áfengra drykkja"
"15930","Framleiðsla á léttu víni","11020","Framleiðsla á víni úr þrúgum"
"15940","Framleiðsla annarra ávaxtavína","11030","Framleiðsla annarra ávaxtavína"
"15950"," Framleiðsla á vermút og svipuðum víntegundum","11040","Framleiðsla á öðrum óeimuðum, gerjuðum drykkjarvörum"
"15960","Bjórgerð","11050","Bjórgerð"
"15970","Maltgerð","11060","Maltgerð"
"15980","Framleiðsla gosdrykkja og svipaðra drykkja","11070","Framleiðsla á gosdrykkjum, ölkelduvatni og öðru átöppuðu vatni"
"16000","Tóbaksiðnaður","12000","Framleiðsla á tóbaksvörum"
"17200","Vefnaður","13200","Textílvefnaður"
"17300","Frágangur á textílum","13300","Frágangur á textílum"
"17401","Seglagerðir","13920","Framleiðsla á tilbúinni spunavöru annarri en fatnaði"
"17402","Framleiðsla textílvöru til heimilis- og innanhússnota","13920","Framleiðsla á tilbúinni spunavöru annarri en fatnaði"
"17409","Önnur framleiðsla á tilbúinni textílvöru","13920","Framleiðsla á tilbúinni spunavöru annarri en fatnaði"
"17510","Framleiðsla á teppum og mottum","13930","Framleiðsla á gólfteppum og mottum"
"17521","Framleiðsla á köðlum, garni og netum","13940","Framleiðsla á köðlum, seglgarni og netum"
"17522","Veiðarfæragerð","13940","Framleiðsla á köðlum, seglgarni og netum"
"17522","Veiðarfæragerð","33190","Viðgerðir á öðrum búnaði"
"17530","Framleiðsla á trefjadúk, ekki ofnum, og vörum úr honum, þó ekki fatnaði","13950","Framleiðsla á trefjadúk og vörum úr þeim, þó ekki fatnaði"
"17540","Framleiðsla annarrar ótalinnar textílvöru","13990","Framleiðsla á annarri ótalinni textílvöru"
"17540","Framleiðsla annarrar ótalinnar textílvöru","13960","Framleiðsla annarra tækni- og iðnaðartextíla"
"17600","Framleiðsla á hekl- og prjónvoð","13910","Framleiðsla á hekluðum og prjónuðum dúk"
"17710","Sokkaframleiðsla","14310","Framleiðsla á sokkum og sokkavörum"
"17720","Peysuframleiðsla","14390","Framleiðsla á öðrum prjónuðum og hekluðum fatnaði"
"18100","Framleiðsla á leðurfatnaði","14110","Framleiðsla á leðurfatnaði"
"18210","Framleiðsla á vinnufatnaði","14120","Vinnufatagerð"
"18220","Framleiðsla á  yfirfatnaði, þó ekki vinnufatnaði","14130","Framleiðsla á öðrum yfirfatnaði"
"18230","Framleiðsla á undirfatnaði","14140","Framleiðsla á nærfatnaði"
"18240","Framleiðsla á öðrum ótöldum fatnaði og fylgihlutum","32990","Önnur ótalin framleiðsla"
"18240","Framleiðsla á öðrum ótöldum fatnaði og fylgihlutum","14190","Framleiðsla á öðrum fatnaði og fylgihlutum"
"18300","Sútun og litun loðskinna; framleiðsla úr loðskinnum","15110","Sútun leðurs; sútun og litun á loðskinni"
"18300","Sútun og litun loðskinna; framleiðsla úr loðskinnum","14200","Framleiðsla á vörum úr loðskinnum"
"19100","Sútun á leðri","15110","Sútun leðurs; sútun og litun á loðskinni"
"19200","Framleiðsla á ferðatöskum, handtöskum og skyldum vörum og reiðtygjum","32990","Önnur ótalin framleiðsla"
"19200","Framleiðsla á ferðatöskum, handtöskum og skyldum vörum og reiðtygjum","15120","Framleiðsla á ferðatöskum, handtöskum og áþekkum vörum; reiðtygjum og skyldum vörum"
"19300","Framleiðsla á skófatnaði","15200","Framleiðsla á skófatnaði"
"19300","Framleiðsla á skófatnaði","22190","Framleiðsla á öðrum gúmmívörum"
"20100","Sögun, heflun og fúavörn á viði","16100","Sögun, heflun og fúavörn á viði"
"20200","Framleiðsla á krossviði, spónarplötum o.þ.h.","16210","Framleiðsla á viðarspæni og plötum að grunni til úr viði"
"20301","Framleiðsla einingahúsa og byggingareininga úr viði og öðrum efniviði","16220","Framleiðsla á samsettum parketgólfum"
"20301","Framleiðsla einingahúsa og byggingareininga úr viði og öðrum efniviði","16230","Framleiðsla á öðrum trésmíðavörum til bygginga"
"20309","Framleiðsla annars efnis til húsasmíða úr viði og öðrum efniviði","16220","Framleiðsla á samsettum parketgólfum"
"20309","Framleiðsla annars efnis til húsasmíða úr viði og öðrum efniviði","16230","Framleiðsla á öðrum trésmíðavörum til bygginga"
"20400","Framleiðsla á umbúðum úr viði","33190","Viðgerðir á öðrum búnaði"
"20400","Framleiðsla á umbúðum úr viði","16240","Framleiðsla á umbúðum úr viði"
"20510","Framleiðsla annarrar viðarvöru","16290","Framleiðsla á annarri viðarvöru; framleiðsla á vörum úr korki, hálmi og fléttiefnum"
"20520","Framleiðsla vöru úr korki, hálmi og fléttiefnum","16290","Framleiðsla á annarri viðarvöru; framleiðsla á vörum úr korki, hálmi og fléttiefnum"
"20520","Framleiðsla vöru úr korki, hálmi og fléttiefnum","32990","Önnur ótalin framleiðsla"
"21110","Framleiðsla á pappírskvoðu","17110","Framleiðsla á pappírskvoðu"
"21120","Framleiðsla á pappír og pappa","17120","Framleiðsla á pappír og pappa"
"21210","Framleiðsla á bylgjupappa og umbúðum úr pappír og pappa","17210","Framleiðsla á bylgjupappír og -pappa og umbúðum úr pappír og pappa"
"21220","Framleiðsla vöru til heimilis- og hreinlætisnota úr pappír og pappa","17220","Framleiðsla á heimilis- og hreinlætisvörum úr pappír og pappa"
"21230","Framleiðsla á skrifpappír og skrifstofuvörum úr pappír og pappa","17230","Framleiðsla á skrifpappír og skrifstofuvörum úr pappír og pappa"
"21240","Framleiðsla veggfóðurs","17240","Framleiðsla á veggfóðri"
"21250","Framleiðsla annarrar pappírs- og pappavöru","17290","Framleiðsla á annarri pappírs- og pappavöru"
"22111","Bókaútgáfa með starfrækslu eigin prentsmiðju","58110","Bókaútgáfa"
"22111","Bókaútgáfa með starfrækslu eigin prentsmiðju","58120","Útgáfa skráa og póstlista"
"22112","Bókaútgáfa án starfrækslu eigin prentsmiðju","58110","Bókaútgáfa"
"22112","Bókaútgáfa án starfrækslu eigin prentsmiðju","58120","Útgáfa skráa og póstlista"
"22121","Dagblaðaútgáfa með starfrækslu eigin prentsmiðju","58130","Dagblaðaútgáfa"
"22122","Dagblaðaútgáfa án starfrækslu eigin prentsmiðju","58130","Dagblaðaútgáfa"
"22130","Tímaritaútgáfa","58140","Tímaritaútgáfa"
"22140","Útgáfa á hljóðrituðu efni","59200","Hljóðupptaka og tónlistarútgáfa"
"22150","Önnur útgáfustarfsemi","58190","Önnur útgáfustarfsemi"
"22210","Prentun dagblaða","18110","Prentun dagblaða"
"22221","Offsett- og hæðarprentun","18120","Önnur prentun"
"22222","Sáldprentun","18120","Önnur prentun"
"22229","Önnur ótalin prentun","18120","Önnur prentun"
"22230","Bókband og frágangur prentaðs máls","18140","Bókband og tengd þjónusta"
